Kab_Kota,Kode_Kab,provinsi,X,Y,tahun,suhu
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2022,31.07268403
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2022,28.15943658
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2022,29.72513656
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2022,41.1137244
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2022,31.14312699
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2022,36.95496411
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2022,33.22056408
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2022,35.25774409
SIMEULUE,1109,ACEH,96.085675,2.6133016,2023,32.39480695
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2023,32.99470443
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2023,29.46640565
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2023,27.31905752
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2023,31.8552395
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2023,27.55122733
ACEH BARAT,1105,ACEH,96.185458,4.456644,2023,32.06227823
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2023,34.01468894
PIDIE,1107,ACEH,96.0072061,5.0681582,2023,29.68098578
BIREUEN,1111,ACEH,96.6092168,5.0934648,2023,32.3111634
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2023,33.94811883
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2023,32.63378866
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2023,30.76859699
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2023,29.32403715
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2023,25.89983713
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2023,30.86986595
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2023,28.70410163
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2023,30.14733574
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2023,41.61055605
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2023,31.69074547
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2023,37.65277458
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2023,32.59357556
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2023,35.24351188
SIMEULUE,1109,ACEH,96.085675,2.6133016,2024,31.93964246
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2024,34.10305879
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2024,30.1112561
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2024,29.56412884
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2024,32.84919026
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2024,29.13069522
ACEH BARAT,1105,ACEH,96.185458,4.456644,2024,32.68540223
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2024,32.97415971
PIDIE,1107,ACEH,96.0072061,5.0681582,2024,30.11652308
BIREUEN,1111,ACEH,96.6092168,5.0934648,2024,31.54303599
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2024,34.25199424
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2024,34.33784004
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2024,31.40881326
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2024,29.63396798
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2024,27.58375654
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2024,31.68912651
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2024,28.78750438
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2024,28.95386513
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2024,40.8128622
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2024,30.9074865
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2024,39.32195546
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2024,34.06535969
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2024,36.33158798
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2015,32.37810293
TABANAN,5102,BALI,115.0780151,-8.4293142,2015,31.56909424
BADUNG,5103,BALI,115.1883496,-8.5828534,2015,35.09733299
GIANYAR,5104,BALI,115.287581,-8.4806592,2015,33.88859226
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2015,35.49494938
BANGLI,5106,BALI,115.3467321,-8.2934637,2015,32.3450639
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2015,33.87566688
BULELENG,5108,BALI,114.9631008,-8.2006916,2015,32.65065394
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2015,39.44808741
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2016,31.97279533
TABANAN,5102,BALI,115.0780151,-8.4293142,2016,30.94155994
BADUNG,5103,BALI,115.1883496,-8.5828534,2016,34.83418296
GIANYAR,5104,BALI,115.287581,-8.4806592,2016,33.92775278
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2016,34.73197286
BANGLI,5106,BALI,115.3467321,-8.2934637,2016,30.01847883
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2016,32.58570467
BULELENG,5108,BALI,114.9631008,-8.2006916,2016,31.72631197
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2016,40.54822354
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2017,30.64746719
TABANAN,5102,BALI,115.0780151,-8.4293142,2017,30.15281202
BADUNG,5103,BALI,115.1883496,-8.5828534,2017,33.55206546
GIANYAR,5104,BALI,115.287581,-8.4806592,2017,32.4789291
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2017,32.86479581
BANGLI,5106,BALI,115.3467321,-8.2934637,2017,29.9792891
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2017,32.13038446
BULELENG,5108,BALI,114.9631008,-8.2006916,2017,31.71716233
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2017,38.33469658
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2018,31.19863866
TABANAN,5102,BALI,115.0780151,-8.4293142,2018,30.92497459
BADUNG,5103,BALI,115.1883496,-8.5828534,2018,34.30281264
GIANYAR,5104,BALI,115.287581,-8.4806592,2018,33.18395908
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2018,34.31844019
BANGLI,5106,BALI,115.3467321,-8.2934637,2018,31.06855171
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2018,33.21658507
BULELENG,5108,BALI,114.9631008,-8.2006916,2018,32.72760737
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2018,38.97013337
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2019,32.3860054
TABANAN,5102,BALI,115.0780151,-8.4293142,2019,31.34606878
BADUNG,5103,BALI,115.1883496,-8.5828534,2019,34.80157573
GIANYAR,5104,BALI,115.287581,-8.4806592,2019,33.90678874
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2019,35.35013984
BANGLI,5106,BALI,115.3467321,-8.2934637,2019,31.50720555
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2019,33.42412608
BULELENG,5108,BALI,114.9631008,-8.2006916,2019,32.79053524
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2019,39.57675365
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2020,31.26648092
TABANAN,5102,BALI,115.0780151,-8.4293142,2020,30.53893885
BADUNG,5103,BALI,115.1883496,-8.5828534,2020,34.09492157
GIANYAR,5104,BALI,115.287581,-8.4806592,2020,33.33402846
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2020,34.00637451
BANGLI,5106,BALI,115.3467321,-8.2934637,2020,30.61936057
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2020,32.99881078
BULELENG,5108,BALI,114.9631008,-8.2006916,2020,32.15699696
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2020,39.28336908
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2021,30.74091876
TABANAN,5102,BALI,115.0780151,-8.4293142,2021,30.10176252
BADUNG,5103,BALI,115.1883496,-8.5828534,2021,33.22016349
GIANYAR,5104,BALI,115.287581,-8.4806592,2021,32.50693535
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2021,32.8189174
BANGLI,5106,BALI,115.3467321,-8.2934637,2021,29.37772394
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2021,31.99097039
BULELENG,5108,BALI,114.9631008,-8.2006916,2021,31.41363902
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2021,38.5469605
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2022,30.7676036
TABANAN,5102,BALI,115.0780151,-8.4293142,2022,30.2494647
BADUNG,5103,BALI,115.1883496,-8.5828534,2022,33.41895961
GIANYAR,5104,BALI,115.287581,-8.4806592,2022,33.25863951
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2022,32.70722142
BANGLI,5106,BALI,115.3467321,-8.2934637,2022,29.21183198
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2022,31.21814641
BULELENG,5108,BALI,114.9631008,-8.2006916,2022,30.72773903
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2022,38.38110292
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2023,31.91704624
TABANAN,5102,BALI,115.0780151,-8.4293142,2023,30.92389476
BADUNG,5103,BALI,115.1883496,-8.5828534,2023,34.01115401
GIANYAR,5104,BALI,115.287581,-8.4806592,2023,33.19683704
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2023,33.88775042
BANGLI,5106,BALI,115.3467321,-8.2934637,2023,30.678012
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2023,32.71390893
BULELENG,5108,BALI,114.9631008,-8.2006916,2023,32.09070596
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2023,38.62482263
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2024,33.34494694
TABANAN,5102,BALI,115.0780151,-8.4293142,2024,33.0057911
BADUNG,5103,BALI,115.1883496,-8.5828534,2024,36.05356622
GIANYAR,5104,BALI,115.287581,-8.4806592,2024,34.74456776
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2024,33.96391583
BANGLI,5106,BALI,115.3467321,-8.2934637,2024,29.86739603
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2024,31.7723802
BULELENG,5108,BALI,114.9631008,-8.2006916,2024,31.71676034
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2024,41.05366364
PANDEGLANG,3601,BANTEN,105.7429494,-6.5902254,2015,32.86320417
LEBAK,3602,BANTEN,106.2128345,-6.642101,2015,32.28239586
TANGERANG,3603,BANTEN,106.5186268,-6.1742697,2015,38.80600734
SERANG,3604,BANTEN,106.1486454,-6.1430068,2015,35.60307903
KOTA TANGERANG,3671,BANTEN,106.651798,-6.1828687,2015,41.9883506
KOTA CILEGON,3672,BANTEN,106.0193786,-5.9981776,2015,39.09697386
KOTA SERANG,3673,BANTEN,106.1662923,-6.1234132,2015,38.05412412
KOTA TANGERANG SELATAN,3674,BANTEN,106.7074234,-6.3018127,2015,41.41431145
PANDEGLANG,3601,BANTEN,105.7429494,-6.5902254,2016,33.06871823
LEBAK,3602,BANTEN,106.2128345,-6.642101,2016,32.07419696
TANGERANG,3603,BANTEN,106.5186268,-6.1742697,2016,37.93999937
SERANG,3604,BANTEN,106.1486454,-6.1430068,2016,34.68376022
KOTA TANGERANG,3671,BANTEN,106.651798,-6.1828687,2016,41.26818664
KOTA CILEGON,3672,BANTEN,106.0193786,-5.9981776,2016,38.0688498
KOTA SERANG,3673,BANTEN,106.1662923,-6.1234132,2016,36.35225252
KOTA TANGERANG SELATAN,3674,BANTEN,106.7074234,-6.3018127,2016,41.10853925
PANDEGLANG,3601,BANTEN,105.7429494,-6.5902254,2017,32.4403102
LEBAK,3602,BANTEN,106.2128345,-6.642101,2017,31.84609169
TANGERANG,3603,BANTEN,106.5186268,-6.1742697,2017,37.65788214
SERANG,3604,BANTEN,106.1486454,-6.1430068,2017,34.82330417
