Kab_Kota,Kode_Kab,provinsi,X,Y,tahun,ndvi
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2017,0.636962292
BULELENG,5108,BALI,114.9631008,-8.2006916,2017,0.693903352
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2017,0.460568685
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2018,0.724954303
TABANAN,5102,BALI,115.0780151,-8.4293142,2018,0.703325284
BADUNG,5103,BALI,115.1883496,-8.5828534,2018,0.611616373
GIANYAR,5104,BALI,115.287581,-8.4806592,2018,0.664637301
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2018,0.646800768
BANGLI,5106,BALI,115.3467321,-8.2934637,2018,0.631403799
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2018,0.648072336
BULELENG,5108,BALI,114.9631008,-8.2006916,2018,0.687005134
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2018,0.466372164
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2019,0.748028435
TABANAN,5102,BALI,115.0780151,-8.4293142,2019,0.74474991
BADUNG,5103,BALI,115.1883496,-8.5828534,2019,0.622012132
GIANYAR,5104,BALI,115.287581,-8.4806592,2019,0.695756908
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2019,0.646062239
BANGLI,5106,BALI,115.3467321,-8.2934637,2019,0.690488748
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2019,0.696701937
BULELENG,5108,BALI,114.9631008,-8.2006916,2019,0.707153439
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2019,0.439861648
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2020,0.761735588
TABANAN,5102,BALI,115.0780151,-8.4293142,2020,0.742693941
BADUNG,5103,BALI,115.1883496,-8.5828534,2020,0.637600709
GIANYAR,5104,BALI,115.287581,-8.4806592,2020,0.707702049
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2020,0.690527992
BANGLI,5106,BALI,115.3467321,-8.2934637,2020,0.673009062
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2020,0.700305745
BULELENG,5108,BALI,114.9631008,-8.2006916,2020,0.709305122
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2020,0.441079315
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2021,0.714253852
TABANAN,5102,BALI,115.0780151,-8.4293142,2021,0.692987184
BADUNG,5103,BALI,115.1883496,-8.5828534,2021,0.607867589
GIANYAR,5104,BALI,115.287581,-8.4806592,2021,0.655046648
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2021,0.689390616
BANGLI,5106,BALI,115.3467321,-8.2934637,2021,0.623389147
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2021,0.652248817
BULELENG,5108,BALI,114.9631008,-8.2006916,2021,0.674153931
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2021,0.439507132
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2022,0.745671424
TABANAN,5102,BALI,115.0780151,-8.4293142,2022,0.698421245
BADUNG,5103,BALI,115.1883496,-8.5828534,2022,0.612905983
GIANYAR,5104,BALI,115.287581,-8.4806592,2022,0.67383427
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2022,0.668507344
BANGLI,5106,BALI,115.3467321,-8.2934637,2022,0.644897664
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2022,0.679835774
BULELENG,5108,BALI,114.9631008,-8.2006916,2022,0.705952076
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2022,0.45635103
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2023,0.759091711
TABANAN,5102,BALI,115.0780151,-8.4293142,2023,0.73264145
BADUNG,5103,BALI,115.1883496,-8.5828534,2023,0.628464608
GIANYAR,5104,BALI,115.287581,-8.4806592,2023,0.68609162
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2023,0.676702382
BANGLI,5106,BALI,115.3467321,-8.2934637,2023,0.702441101
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2023,0.713187988
BULELENG,5108,BALI,114.9631008,-8.2006916,2023,0.719858768
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2023,0.442446945
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2024,0.75955914
TABANAN,5102,BALI,115.0780151,-8.4293142,2024,0.723548289
BADUNG,5103,BALI,115.1883496,-8.5828534,2024,0.594956651
GIANYAR,5104,BALI,115.287581,-8.4806592,2024,0.672338907
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2024,0.634981469
BANGLI,5106,BALI,115.3467321,-8.2934637,2024,0.675651908
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2024,0.676080811
BULELENG,5108,BALI,114.9631008,-8.2006916,2024,0.716430907
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2024,0.423031038
PANDEGLANG,3601,BANTEN,105.7429494,-6.5902254,2015,0.697040302
LEBAK,3602,BANTEN,106.2128345,-6.642101,2015,0.736719392
TANGERANG,3603,BANTEN,106.5186268,-6.1742697,2015,0.43326878
SERANG,3604,BANTEN,106.1486454,-6.1430068,2015,0.566647541
KOTA TANGERANG,3671,BANTEN,106.651798,-6.1828687,2015,0.315588085
KOTA CILEGON,3672,BANTEN,106.0193786,-5.9981776,2015,0.467552509
KOTA SERANG,3673,BANTEN,106.1662923,-6.1234132,2015,0.517271987
KOTA TANGERANG SELATAN,3674,BANTEN,106.7074234,-6.3018127,2015,0.412171416
PANDEGLANG,3601,BANTEN,105.7429494,-6.5902254,2016,0.685203843
LEBAK,3602,BANTEN,106.2128345,-6.642101,2016,0.716709203
TANGERANG,3603,BANTEN,106.5186268,-6.1742697,2016,0.466800587
SERANG,3604,BANTEN,106.1486454,-6.1430068,2016,0.558373569
KOTA TANGERANG,3671,BANTEN,106.651798,-6.1828687,2016,0.297813359
KOTA CILEGON,3672,BANTEN,106.0193786,-5.9981776,2016,0.471142245
KOTA SERANG,3673,BANTEN,106.1662923,-6.1234132,2016,0.513769341
KOTA TANGERANG SELATAN,3674,BANTEN,106.7074234,-6.3018127,2016,0.404047681
PANDEGLANG,3601,BANTEN,105.7429494,-6.5902254,2017,0.694184583
LEBAK,3602,BANTEN,106.2128345,-6.642101,2017,0.73242682
TANGERANG,3603,BANTEN,106.5186268,-6.1742697,2017,0.470873861
SERANG,3604,BANTEN,106.1486454,-6.1430068,2017,0.602933282
KOTA TANGERANG,3671,BANTEN,106.651798,-6.1828687,2017,0.322286908
KOTA CILEGON,3672,BANTEN,106.0193786,-5.9981776,2017,0.485827828
KOTA SERANG,3673,BANTEN,106.1662923,-6.1234132,2017,0.569539768
KOTA TANGERANG SELATAN,3674,BANTEN,106.7074234,-6.3018127,2017,0.433777698
PANDEGLANG,3601,BANTEN,105.7429494,-6.5902254,2018,0.675561046
LEBAK,3602,BANTEN,106.2128345,-6.642101,2018,0.72511897
TANGERANG,3603,BANTEN,106.5186268,-6.1742697,2018,0.450270962
SERANG,3604,BANTEN,106.1486454,-6.1430068,2018,0.587074792
KOTA TANGERANG,3671,BANTEN,106.651798,-6.1828687,2018,0.308021643
KOTA CILEGON,3672,BANTEN,106.0193786,-5.9981776,2018,0.48849357
KOTA SERANG,3673,BANTEN,106.1662923,-6.1234132,2018,0.540524364
KOTA TANGERANG SELATAN,3674,BANTEN,106.7074234,-6.3018127,2018,0.415616194
PANDEGLANG,3601,BANTEN,105.7429494,-6.5902254,2019,0.683979681
LEBAK,3602,BANTEN,106.2128345,-6.642101,2019,0.730852235
TANGERANG,3603,BANTEN,106.5186268,-6.1742697,2019,0.433897914
SERANG,3604,BANTEN,106.1486454,-6.1430068,2019,0.58041081
KOTA TANGERANG,3671,BANTEN,106.651798,-6.1828687,2019,0.294270802
KOTA CILEGON,3672,BANTEN,106.0193786,-5.9981776,2019,0.450210417
KOTA SERANG,3673,BANTEN,106.1662923,-6.1234132,2019,0.525515894
KOTA TANGERANG SELATAN,3674,BANTEN,106.7074234,-6.3018127,2019,0.385228013
